"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"7261","PC Fútbol 2006    ","PC","Planeta DeAgostini Interactive  ","N/A","N/A","11th Oct 05  ","N/A","N/A","N/A"
"7262","PC Fútbol 2007    ","PC","Planeta DeAgostini Interactive  ","N/A","N/A","13th Nov 06  ","N/A","N/A","N/A"
"7263","PC Fútbol 3.0    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"7264","PC Fútbol 4.0    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Jul 95  ","N/A","N/A","N/A"
"7265","PC Fútbol 5.0    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Dec 96  ","N/A","N/A","N/A"
"7266","PC Fútbol 6.0    ","PC","Dinamic Multimedia  ","N/A","N/A","15th Jan 98  ","N/A","N/A","N/A"
"7267","PC Fútbol 7    ","PC","Dinamic Multimedia  ","N/A","N/A","15th Dec 98  ","N/A","N/A","N/A"
"7268","PD Ultraman Battle Collection 64    ","N64","Bandai  ","N/A","0.04m","16th Jul 99  ","N/A","0.04m","0.00m"
"7269","PD Ultraman Invader    ","PS","Bandai  ","N/A","N/A","22nd Dec 95  ","N/A","N/A","N/A"
"7270","PD Ultraman Link    ","SAT","Bandai  ","N/A","N/A","09th Feb 96  ","N/A","N/A","N/A"
"7271","PDC World Championship Darts    ","PS2","Oxygen Interactive  ","N/A","N/A","01st Dec 06  ","N/A","N/A","N/A"
"7272","PDC World Championship Darts    ","PC","Oxygen Interactive  ","N/A","N/A","01st Dec 06  ","N/A","N/A","N/A"
"7273","PDC World Championship Darts 2008    ","PS2","O-Games  ","N/A","N/A","16th Jun 09  ","N/A","N/A","N/A"
"7274","PDC World Championship Darts 2008    ","PC","Unknown  ","N/A","0.01m","01st Jan 70  ","0.01m","N/A","0.00m"
"7275","PDC World Championship Darts 2008    ","X360","Unknown  ","N/A","0.01m","N/A  ","0.01m","N/A","0.00m"
"7276","PDC World Championship Darts 2009    ","DS","O-Games  ","N/A","0.00m","16th Jun 09  ","0.00m","N/A","0.00m"
"7277","PDC World Championship Darts 2009    ","Wii","Oxygen Interactive  ","N/A","0.01m","29th May 09  ","0.01m","N/A","0.00m"
"7278","PDC World Championship Darts 2010    ","Wii","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"7279","PDC World Championship Darts 2010    ","DS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"7280","PDC World Championship Darts: Pro Tour    ","PS3","O-Games  ","N/A","0.10m","26th Nov 10  ","0.08m","N/A","0.02m"
"7281","PDC World Championship Darts: Pro Tour    ","X360","O-Games  ","N/A","0.02m","26th Nov 10  ","0.02m","N/A","0.00m"
"7282","PDC World Championship Darts: Pro Tour    ","Wii","O-Games  ","N/A","0.11m","26th Nov 10  ","0.10m","N/A","0.01m"
"7283","Pe-2: Dive Bomber    ","PC","Polynetix Studio  ","N/A","N/A","07th Nov 07  ","N/A","N/A","N/A"
"7284","Pe-Jongju to Manabu Kankokugo DS: Date-Hen    ","DS","D3 Publisher  ","N/A","N/A","26th Aug 10  ","N/A","N/A","N/A"
"7285","Pe-Jongju to Manabu Kankokugo DS: Test-Hen    ","DS","D3 Publisher  ","N/A","0.02m","26th Aug 10  ","N/A","0.02m","N/A"
"7286","Peach Ball: Senran Kagura    ","NS","Marvelous Entertainment  ","N/A","0.01m","13th Dec 18  ","N/A","0.01m","N/A"
"7287","Peach Fetch! Double!!    ","PC","softhouse-seal  ","N/A","N/A","09th Mar 12  ","N/A","N/A","N/A"
"7288","Peak Performance    ","PSN","Atlus  ","N/A","N/A","10th Nov 10  ","N/A","N/A","N/A"
"7289","peakvox: Escape Virus - Shooter Pack    ","DSiW","Unknown  ","N/A","N/A","31st Aug 11  ","N/A","N/A","N/A"
"7290","Peakvox: Mew Mew Chamber    ","DSiW","Unknown  ","N/A","N/A","09th Mar 11  ","N/A","N/A","N/A"
"7291","Pearl Harbor Trilogy - 1941: Red Sun Rising    ","WW","Legendo Entertainment  ","N/A","N/A","05th Jul 10  ","N/A","N/A","N/A"
"7292","Pebble Beach Golf Links    ","SAT","Sega  ","N/A","0.02m","01st Jan 95  ","N/A","0.02m","N/A"
"7293","Pebble Beach Golf Links    ","GEN","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"7294","Pebble Beach Golf Links    ","3DO","Panasonic Interactive Media  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"7295","Pebble Beach Golf Links    ","SNES","T&E Soft  ","N/A","N/A","01st Apr 92  ","N/A","N/A","N/A"
"7296","PebbleDash    ","XBL","Microsoft  ","N/A","N/A","12th Aug 09  ","N/A","N/A","N/A"
"7297","PebbleDash Lite    ","XBL","Microsoft  ","N/A","N/A","08th Sep 09  ","N/A","N/A","N/A"
"7298","Peek A Boo Poker    ","NES","Panesian  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"7299","Peepar Time    ","NES","Sanritsu Denki  ","N/A","N/A","10th Aug 90  ","N/A","N/A","N/A"
"7300","Peg Board    ","PC","Sunny Tam  ","N/A","N/A","18th Mar 14  ","N/A","N/A","N/A"
"7301","Peg Board    ","And","Sunny Tam  ","N/A","N/A","28th Feb 13  ","N/A","N/A","N/A"
"7302","Peg Solitaire    ","DSiW","CIRCLE Entertainment  ","N/A","N/A","01st Nov 10  ","N/A","N/A","N/A"
"7303","Peggle    ","PC","PopCap Games  ","N/A","N/A","19th Feb 08  ","N/A","N/A","N/A"
"7304","Peggle    ","XBL","PopCap Games  ","N/A","N/A","11th Mar 09  ","N/A","N/A","N/A"
"7305","Peggle    ","PSN","Sony Online Entertainment  ","N/A","N/A","19th Nov 09  ","N/A","N/A","N/A"
"7306","Peggle (PSP)    ","PSN","Sony Online Entertainment  ","N/A","N/A","16th Nov 10  ","N/A","N/A","N/A"
"7307","Peggle 2    ","XOne","Electronic Arts  ","N/A","N/A","09th Dec 13  ","N/A","N/A","N/A"
"7308","Peggle 2    ","X360","Electronic Arts  ","N/A","N/A","07th May 14  ","N/A","N/A","N/A"
"7309","Peggle 2    ","PS4","Electronic Arts  ","N/A","N/A","14th Oct 14  ","N/A","N/A","N/A"
"7310","Peggle Extreme    ","PC","PopCap Games  ","N/A","N/A","11th Sep 07  ","N/A","N/A","N/A"
"7311","Peggle Nights    ","PC","PopCap Games  ","N/A","0.02m","16th Sep 08  ","0.02m","N/A","0.00m"
"7312","Peggle Nights    ","XBL","PopCap Games  ","N/A","N/A","18th Nov 09  ","N/A","N/A","N/A"
"7313","Peggle Nights    ","PSN","Sony Online Entertainment  ","N/A","N/A","19th Nov 09  ","N/A","N/A","N/A"
"7314","Pegzo    ","XBL","Microsoft  ","N/A","N/A","04th Mar 09  ","N/A","N/A","N/A"
"7315","Peke to Poko no Daruman Busters    ","GB","Banpresto  ","N/A","N/A","03rd Aug 91  ","N/A","N/A","N/A"
"7316","Pele's Championship Soccer    ","2600","Atari  ","N/A","N/A","01st Jan 80  ","N/A","N/A","N/A"
"7317","Pellmell    ","XBL","Microsoft  ","N/A","N/A","10th May 09  ","N/A","N/A","N/A"
"7318","Pen 1 Grand Prix: Penguin no Mondai Special    ","DS","Konami  ","N/A","0.16m","17th Dec 09  ","N/A","0.16m","N/A"
"7319","Penalty of Heroes    ","XBL","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"7320","Penarium    ","PC","Team17 Software  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"7321","Penarium    ","OSX","Team17 Software  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"7322","Pencil Doodle    ","PSV","SCEE  ","N/A","N/A","03rd Jun 14  ","N/A","N/A","N/A"
"7323","Pendoku    ","XBL","Microsoft  ","N/A","N/A","29th May 09  ","N/A","N/A","N/A"
"7324","Penga's Peril    ","XBL","Microsoft  ","N/A","N/A","04th Feb 09  ","N/A","N/A","N/A"
"7325","Pengo    ","GG","Sega  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"7326","Pengo    ","5200","Atari  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"7327","Penguin Adventure    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"7328","Penguin Adventure    ","VC","Konami  ","N/A","N/A","24th Nov 09  ","N/A","N/A","N/A"
